strain_plus_code	Completeness	Contamination	Strain.heterogeneity	Genome.size..bp.	X..scaffolds	N50..scaffolds.	Mean.scaffold.length..bp.	Longest.scaffold..bp.	GC	GC.std..scaffolds...1kbp.	Coding.density	CDS Number	Gene Number	rRNA Number	tRNA Number	tmRNA Number	Number of Repeat Regions
immobilis_074	99.73	0.82	0	3336711	63	125380	52963	399907	42.3	3.02	82.2	2761	2803	3	38	1	1
immobilis_075	99.95	0.27	0	3229758	79	130336	40883	457323	42.4	3.51	82.94	2709	2755	3	42	1	0
immobilis_076	99.73	0.59	33.33	3175679	82	76680	38727	174487	42.9	1.42	82.01	2613	2659	3	42	1	1
jeotgali_027	98.3	0.55	0	3138794	7	3109216	448399	3109216	42.7	5.07	84.17	2587	2644	9	47	1	5
luti_022	99.95	0	0	2969874	20	510582	148493	597232	42.7	2.67	82.55	2433	2481	5	42	1	7
lutiphocae_013	99.79	0.17	33.33	3211876	7	2892063	458839	2892063	41.7	4.16	80.1	2602	2668	12	53	1	9
marincola_014	99.85	0.55	0	3059153	43	175014	71143	399455	42.8	2.65	83.12	2526	2570	3	40	1	0
maritimus_015	99.54	0	0	3176096	28	353480	113432	712029	43.2	3.41	82.68	2593	2640	4	42	1	0
maritimus_028	99.95	0	0	3161836	53	171492	59657	380132	43.2	3.56	82.62	2596	2642	3	42	1	0
namhaensis_029	96.98	1.1	75	2824513	12	484536	235376	581782	44.9	3.61	83.07	2373	2424	6	44	1	1
nivimaris_030	99.95	1.17	0	3394877	84	80494	40415	250214	42.8	2.37	83.44	2812	2864	6	45	1	1
oceani_047	100	0.27	0	2982828	81	81941	36825	215230	44	2.99	82.96	2515	2561	4	41	1	1
okhotskensis_031	99.95	1.17	0	3449090	105	74718	32848	317978	43.4	3.28	82.82	2832	2878	3	42	1	0
okhotskensis_080	99.86	1.24	0	3432245	90	79049	38136	232583	43.4	2.37	82.79	2835	2881	3	42	1	0
pacificensis_032	100	1.65	71.43	3166102	44	442556	71956	843638	44	3.43	82.88	2757	2814	9	47	1	1
phenylpyruvicus_090	99.89	0.49	0	3275513	9	3228198	363945	3228198	41.8	3.07	82.8	2723	2793	15	54	1	2
piscatorii_048	99.91	1.51	12.5	3514701	120	92951	29289	193808	43.4	3.21	83.86	2961	3016	8	46	1	0
priscuii_086	100	0.55	0	3077760	47	189297	65484	344414	42.5	1.83	83.16	2530	2578	6	41	1	2
proteolyticus_016	99.85	0.55	0	3037410	17	658356	178671	870690	42.8	3.47	83.04	2504	2553	6	42	1	0
pulmonis_088	99.67	0.64	0	2976851	13	637371	228988	875927	43.7	1.61	83.54	2447	2495	5	42	1	0
pulmonis_089	97.29	1.73	92.31	3310315	29	3176131	114148	3176131	43.6	3.09	81.55	2943	3003	12	47	1	1
salsus_033	99.08	0.92	0	2894573	68	114010	42567	269367	44.8	3.64	83.04	2416	2468	6	45	1	1
sanguinis_017	99.79	0.6	50	3072724	180	33960	17070	101569	41.3	2.49	81.41	2486	2536	3	46	1	0
sanguinis_091	99.79	0.69	57.14	3182335	173	50283	18395	162346	41.3	2.7	81.63	2576	2627	3	47	1	0
sanguinis_092	99.66	0.41	0	3252685	177	48184	18376	214597	41.3	2.82	81.32	2642	2694	5	46	1	2
sanguinis_093	99.75	1.76	15.38	3164527	127	142680	24917	336211	41.4	2.4	81.92	2566	2622	9	46	1	1
sp1044_082	100	0.32	0	3345445	62	173158	53958	344050	42.8	2.96	83.36	2800	2847	3	43	1	0
sp2ps_018	100	0.38	0	3350432	28	421013	119658	570616	43	1.74	83.34	2803	2855	6	45	1	0
spCMS30_034	98.58	0.73	87.5	3128582	52	133003	60165	249211	43.3	1.51	81.83	2594	2654	12	47	1	0
spDD43_036	99.95	0	0	3040796	49	112539	62057	274473	42.5	2.15	83.21	2516	2558	3	38	1	1
spH71_040	99.93	0.37	0	3152889	117	53664	26947	184920	44.4	3.31	83.1	2615	2670	5	49	1	3
spH81_042	99.63	1.44	42.86	3354589	7	3345358	479227	3345358	43.8	5.39	82.64	2805	2867	12	49	1	1
spHII4_041	99.63	0.55	0	3244494	122	90242	26594	410056	46.2	5.34	82.7	2716	2765	5	43	1	1
spIAM12030_053	99.73	0.59	33.33	3220752	81	79155	39762	174392	42.9	1.44	82.01	2671	2718	4	42	1	1
spJCM18900_049	99.67	0.69	0	3280606	18	649665	182255	740805	42.8	2.33	83	2671	2720	6	42	1	0
spJCM18902_051	99.86	0.27	0	3309288	5	3223788	661857	3223788	42.9	7.77	82.85	2716	2778	12	49	1	1
spJCM18903_052	100	0.82	75	3458442	30	338071	115281	659827	42.7	3.6	83.29	2873	2925	8	43	1	4
spNC44_083	100	0.82	0	3245098	46	188075	70545	345958	42.7	2.92	83.59	2691	2740	5	43	1	0
spPi21_038	99.95	0.82	0	3193220	67	132608	47660	528559	42.8	2.95	83.12	2593	2643	5	44	1	3
spPi251_037	99.68	0.6	0	3420742	69	139352	49575	298301	43.3	3.66	83.14	2737	2783	3	42	1	0
spPi252_039	99.95	0.62	0	3254016	69	108373	47159	294174	42.7	3.44	83.28	2671	2717	3	42	1	0
submarinus_043	99.91	0.55	50	3013331	6	737933	502221	1431514	44.8	2.57	82.95	2567	2614	3	43	1	1
urativorans_019	99.68	1.61	0	3458123	75	128312	46108	544687	41.7	2.49	80.97	2811	2858	5	41	1	1
urativorans_084	97.73	0.69	0	2734405	63	103819	43403	310412	42.8	2.47	81.33	2280	2327	4	42	1	1
vallis_020	99.85	0.6	0	3222629	56	150750	57546	327665	43.3	3.11	83.67	2679	2723	3	40	1	1
